"filename", "language", "JSON with Comments", "XML", "Batch", "ActionScript", "PowerShell", "comment", "blank", "total"
"e:\fofopaint-source\resource\toolsvgs\video-camera.svg", "XML", 0, 51, 0, 0, 0, 1, 1, 53
"e:\fofopaint-source\resource\toolsvgs\video-player-outline.svg", "XML", 0, 46, 0, 0, 0, 1, 1, 48
"e:\fofopaint-source\resource\uiicon\dropper.svg", "XML", 0, 57, 0, 0, 0, 1, 1, 59
"e:\fofopaint-source\resource\uiicon\eraser.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\uiicon\lasso.svg", "XML", 0, 50, 0, 0, 0, 1, 1, 52
"e:\fofopaint-source\resource\uiicon\mirror.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\uiicon\move_arrow.svg", "XML", 0, 40, 0, 0, 0, 1, 1, 42
"e:\fofopaint-source\resource\uiicon\pencil.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"e:\fofopaint-source\resource\uiicon\playbutton.svg", "XML", 0, 39, 0, 0, 0, 1, 1, 41
"e:\fofopaint-source\resource\uiicon\playbutton2.svg", "XML", 0, 37, 0, 0, 0, 1, 1, 39
"e:\fofopaint-source\resource\uiicon\resize.svg", "XML", 0, 54, 0, 0, 0, 1, 1, 56
"e:\fofopaint-source\resource\uiicon\rotateicon.svg", "XML", 0, 154, 0, 0, 0, 1, 1, 156
"e:\fofopaint-source\resource\uiicon\stopButton.svg", "XML", 0, 46, 0, 0, 0, 1, 1, 48
"e:\fofopaint-source\resource\uiicon\undo.svg", "XML", 0, 41, 0, 0, 0, 1, 1, 43
"e:\fofopaint-source\resource\uiicon\zoom.svg", "XML", 0, 43, 0, 0, 0, 1, 1, 45
"e:\fofopaint-source\src\aboutBox.as", "ActionScript", 0, 0, 0, 44, 0, 1, 10, 55
"e:\fofopaint-source\src\appInfoBar.as", "ActionScript", 0, 0, 0, 57, 0, 0, 10, 67
"e:\fofopaint-source\src\appTimer.as", "ActionScript", 0, 0, 0, 10, 0, 1, 6, 17
"e:\fofopaint-source\src\canvasResizeButton.as", "ActionScript", 0, 0, 0, 16, 0, 1, 6, 23
"e:\fofopaint-source\src\colorPickerBox.as", "ActionScript", 0, 0, 0, 322, 0, 8, 52, 382
"e:\fofopaint-source\src\controlMenu.as", "ActionScript", 0, 0, 0, 241, 0, 55, 59, 355
"e:\fofopaint-source\src\fillPenButtons.as", "ActionScript", 0, 0, 0, 59, 0, 1, 15, 75
"e:\fofopaint-source\src\fofoBottomBox.as", "ActionScript", 0, 0, 0, 39, 0, 0, 9, 48
"e:\fofopaint-source\src\lassoButtons.as", "ActionScript", 0, 0, 0, 147, 0, 14, 21, 182
"e:\fofopaint-source\src\loadBox.as", "ActionScript", 0, 0, 0, 69, 0, 3, 15, 87
"e:\fofopaint-source\src\main.as", "ActionScript", 0, 0, 0, 13887, 0, 1743, 2386, 18016
"e:\fofopaint-source\src\opaButtons.as", "ActionScript", 0, 0, 0, 34, 0, 1, 4, 39
"e:\fofopaint-source\src\penSizeList.as", "ActionScript", 0, 0, 0, 18, 0, 1, 7, 26
"e:\fofopaint-source\src\penSizeTransButtonSet.as", "ActionScript", 0, 0, 0, 21, 0, 1, 6, 28
"e:\fofopaint-source\src\previewPanel.as", "ActionScript", 0, 0, 0, 140, 0, 8, 24, 172
"e:\fofopaint-source\src\rToolButtons.as", "ActionScript", 0, 0, 0, 61, 0, 2, 7, 70
"e:\fofopaint-source\src\replayTimeBar.as", "ActionScript", 0, 0, 0, 168, 0, 2, 26, 196
"e:\fofopaint-source\src\rotateCursor.as", "ActionScript", 0, 0, 0, 26, 0, 0, 6, 32
"e:\fofopaint-source\src\saveLoadSubMenu.as", "ActionScript", 0, 0, 0, 8, 0, 1, 5, 14
"e:\fofopaint-source\src\sidePanel.as", "ActionScript", 0, 0, 0, 60, 0, 0, 11, 71
"e:\fofopaint-source\src\spuitMag.as", "ActionScript", 0, 0, 0, 42, 0, 0, 8, 50
"e:\fofopaint-source\src\svCursorSet.as", "ActionScript", 0, 0, 0, 8, 0, 1, 4, 13
"e:\fofopaint-source\src\tinyCursor.as", "ActionScript", 0, 0, 0, 9, 0, 1, 5, 15
"e:\fofopaint-source\src\toolButtons.as", "ActionScript", 0, 0, 0, 355, 0, 7, 47, 409
"e:\fofopaint-source\src\toolButtons2.as", "ActionScript", 0, 0, 0, 157, 0, 2, 19, 178
"e:\fofopaint-source\src\toolTipBoxSet.as", "ActionScript", 0, 0, 0, 31, 0, 1, 6, 38
"e:\fofopaint-source\src\topMenu.as", "ActionScript", 0, 0, 0, 686, 0, 3, 79, 768
"e:\fofopaint-source\src\traceButtons.as", "ActionScript", 0, 0, 0, 147, 0, 0, 21, 168
"e:\fofopaint-source\src\unusedFunction.as", "ActionScript", 0, 0, 0, 7, 0, 3470, 2, 3479
"e:\fofopaint-source\src\worker.as", "ActionScript", 0, 0, 0, 110, 0, 0, 20, 130
"e:\fofopaint-source\src\zoomButton.as", "ActionScript", 0, 0, 0, 7, 0, 1, 7, 15
"e:\fofopaint-source\vscode_fofo_auto_release.bat", "Batch", 0, 0, 10, 0, 0, 0, 3, 13
"e:\fofopaint-source\worker-app.xml", "XML", 0, 21, 0, 0, 0, 17, 1, 39
"Total", "-", 24, 1742, 24, 16986, 1, 5400, 2965, 27142
