"parent","child","instanceName","symbolType"
"controlMenu","PenControlBoxChild/penSizeSelectCursor","penSizeSelectCursor","button"
"controlMenu","PenControlBoxChild/shapeCircleGrid","circleSizeSet","button"
"controlMenu","PenControlBoxChild/pixelSnapText","sharpLineText","button"
"controlMenu","PenControlBoxChild/airBrushText","airBrushText","button"
"controlMenu","PenControlBoxChild/subLayerText","layer1SelectButton","button"
"controlMenu","PenControlBoxChild/subLayerText copy","layer2SelectButton","button"
"controlMenu","PenControlBoxChild/layerSwapButton","layerSwapButton","button"
"controlMenu","PenControlBoxChild/layer1MergeButton","layerMergeButton","button"
"controlMenu","PenControlBoxChild/pixelSnapButton1","layer1UncheckButton","button"
"controlMenu","PenControlBoxChild/pixelSnapButton2","layer1CheckButton","button"
"controlMenu","PenControlBoxChild/pixelSnapButton1","layer2UncheckButton","button"
"controlMenu","PenControlBoxChild/pixelSnapButton2","layer2CheckButton","button"
"controlMenu","PenControlBoxChild/saperateLine","saperateLine","button"
"controlMenu","PenControlBoxChild/alphaBG","opaGuide","button"
"controlMenu","PenControlBoxChild/penlistAlphaCursor","opaCursor","button"
"controlMenu","PenControlBoxChild/penOptionsIcon","infoPenOptions","button"
"controlMenu","PenControlBoxChild/eraserOptionsIcon","infoEraserOptions","button"
"controlMenu","PenControlBoxChild/fillPenOptionsIcon","infoFillPenOptions","button"
"controlMenu","PenControlBoxChild/lineOptionsIcon","infoLineOptions","button"
"controlMenu","PenControlBoxChild/penSmoothBar","penSmoothSlider","button"
"controlMenu","PenControlBoxChild/penSmoothControl","penSmoothSliderCursor","button"
"controlMenu","PenControlBoxChild/penOptionsRect","etcOptionBorder","button"
"cutPrevDataButton","topMenuChild/topMenuButton","","button"
"cutPrevDataButton","topMenuChild/cutPrevDataIcon","","graphic"
"DPIButton","topMenuChild/topMenuButton","","button"
"DPIButton","DPIIcon","","graphic"
"dragDropCancelButton","loadBoxChild/loadBoxMini","dragDropCancelButton","button"
"dragDropCancelButton","loadBoxChild/loadBoxMini","dragDropCancelButton","button"
"dragDropFileButton","loadBoxChild/loadBoxMini","dragDropFileButton","button"
"dragDropFileButton","loadBoxChild/loadBoxMini","dragDropFileButton","button"
"dragDropRefButton","loadBoxChild/loadBoxMini","dragDropRefButton","button"
"dragDropRefButton","loadBoxChild/loadBoxMini","dragDropRefButton","button"
"drawrPresetIcon","drawrPresetIconBorder","","graphic"
"drawrPresetIcon","ColorPickerChild/drawrText","","button"
"drawrPresetIcon","drawrPresetIconBorder","","graphic"
"drawrPresetIcon","ColorPickerChild/drawrText","","button"
"drawrPresetIcon","drawrPresetIconBorder","","graphic"
"drawrPresetIcon","ColorPickerChild/drawrText","","button"
"drawrPresetIcon","drawrPresetIconBorder","","graphic"
"drawrPresetIcon","ColorPickerChild/drawrText","","button"
"EyedropperLensSet","etc/spuitMagRing","nowColor","button"
"EyedropperLensSet","etc/spuitMagRing","oldColor","button"
"fillPenButtons","fillPenMenuChild/fillPenBG","fillPenBGTitle","button"
"fillPenButtons","fillPenMenuChild/fillPenBG","fillPenBG","button"
"fillPenButtons","fillPenMenuChild/fillPenUndoButton","fillPenUndo","button"
"fillPenButtons","fillPenMenuChild/fillPenOK","fillPenOK","button"
"fillPenButtons","fillPenMenuChild/fillPenCancel","fillPenCancel","button"
